-
pdx,usedCount,eosCount
0,2172565,1709877
1,482979,213366
2,927176,121808
3,1572054,100371
4,2075607,36016
5,1623234,36732
6,977057,15981
7,644536,12699
8,359495,8494
9,249039,5761
10,157993,3728
11,84076,2330
12,59261,904
13,33679,585
14,20965,331
15,14461,217
16,9487,105
17,6830,85
18,4034,54
19,2664,84
20,1885,39
21,1413,24
22,1157,14
23,978,6
24,623,11
25,512,6
26,527,11
27,365,3
28,252,4
29,380,3
30,191,1
31,208,4
32,139,2
33,112,1
34,124,3
35,130,0
36,90,0
37,80,2
38,55,0
39,49,0
40,62,1
41,44,0
42,55,0
43,44,0
44,36,1
45,26,0
46,26,0
47,41,1
48,27,0
49,28,0
50,23,0
51,28,0
52,19,0
53,21,0
54,20,0
55,16,0
56,14,0
57,14,1
58,10,0
59,19,0
60,8,0
61,8,0
62,9,0
63,9,0
64,8,0
65,10,1
66,3,0
67,13,0
68,6,0
69,10,1
70,6,0
71,11,0
72,3,0
73,5,0
74,6,0
75,7,0
76,2,0
77,4,0
78,3,0
79,8,0
80,2,0
81,3,0
82,2,0
83,3,0
84,2,1
85,3,0
86,2,0
87,3,0
88,2,0
89,3,0
90,1,0
91,3,0
92,1,0
93,3,0
94,1,0
95,2,0
96,1,0
97,1,0
98,3,0
99,4,0
100,1,0
101,1,0
102,1,0
103,2,0
104,2,0
105,1,0
106,2,0
107,3,0
108,1,0
109,2,0
110,1,0
111,3,0
112,1,0
113,2,0
114,3,0
115,3,0
116,1,0
117,1,0
118,1,0
119,3,0
120,1,0
121,1,0
122,1,0
123,3,0
124,1,0
125,2,0
126,1,0
127,2,0
128,1,0
129,1,0
130,2,0
131,3,0
132,1,0
133,1,0
134,1,0
135,2,0
136,1,0
137,1,0
138,2,0
139,1,0
140,0,0
141,0,0
142,0,0
143,1,0
144,0,0
145,1,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,1,0
153,1,0
154,0,0
155,0,0
156,0,0
157,0,0
158,1,0
159,0,0
160,1,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,1,0
168,1,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,1,0
177,0,0
178,1,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,0,0
185,1,0
186,1,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,1,0
195,0,0
196,1,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,1,0
204,1,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
