a
pdx,usedCount,eosCount
0,117686033,21635164
1,103753440,449907
2,57172873,1081574
3,33646222,2431251
4,30106334,2855677
5,27614132,2468680
6,22132207,2578995
7,10222507,1630003
8,8070972,1242464
9,3659355,666413
10,2094689,244714
11,1684575,295458
12,503328,63105
13,267269,47085
14,218688,20761
15,108692,12729
16,59809,8267
17,41963,5289
18,21934,2747
19,15505,1828
20,9178,1164
21,5996,589
22,4039,396
23,2976,364
24,2462,254
25,1555,192
26,1194,154
27,850,124
28,804,76
29,500,57
30,531,68
31,416,32
32,280,25
33,226,25
34,228,29
35,130,10
36,155,9
37,91,7
38,101,5
39,98,4
40,79,12
41,92,4
42,59,4
43,46,4
44,45,2
45,41,0
46,38,3
47,34,1
48,29,5
49,32,1
50,21,0
51,17,2
52,29,2
53,12,0
54,19,0
55,13,1
56,15,0
57,18,1
58,14,0
59,11,0
60,12,0
61,15,0
62,7,0
63,10,1
64,7,0
65,9,0
66,8,2
67,8,0
68,7,0
69,4,0
70,6,0
71,5,0
72,4,0
73,7,0
74,7,0
75,11,0
76,4,0
77,4,0
78,7,1
79,2,0
80,5,0
81,4,0
82,2,0
83,4,0
84,2,0
85,2,0
86,4,0
87,2,0
88,4,0
89,3,0
90,0,0
91,2,1
92,4,1
93,1,0
94,1,1
95,0,0
96,1,0
97,2,0
98,0,0
99,0,0
100,1,0
101,0,0
102,1,0
103,0,0
104,5,0
105,0,0
106,1,0
107,2,0
108,1,0
109,0,0
110,1,0
111,2,1
112,3,0
113,0,0
114,0,0
115,2,0
116,2,0
117,1,0
118,1,0
119,0,0
120,0,0
121,1,0
122,1,0
123,0,0
124,1,0
125,2,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,1,0
134,1,0
135,0,0
136,0,0
137,0,0
138,2,0
139,0,0
140,0,0
141,1,0
142,0,0
143,0,0
144,1,0
145,0,0
146,0,0
147,0,0
148,2,0
149,0,0
150,2,0
151,1,0
152,0,0
153,0,0
154,3,0
155,0,0
156,1,0
157,0,0
158,2,0
159,2,0
160,0,0
161,3,0
162,0,0
163,1,0
164,0,0
165,3,0
166,0,0
167,2,0
168,0,0
169,1,0
170,0,0
171,2,0
172,2,0
173,1,0
174,0,0
175,3,0
176,0,0
177,1,0
178,0,0
179,0,0
180,0,0
181,2,0
182,0,0
183,0,0
184,0,0
185,0,0
186,0,0
187,2,0
188,0,0
189,1,0
190,1,1
191,0,0
192,0,0
193,1,0
194,0,0
195,1,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
