b
pdx,usedCount,eosCount
0,44248545,183281
1,3573846,90359
2,8794142,433991
3,6865685,655683
4,4295100,105226
5,3542866,103375
6,2155818,23162
7,749930,16876
8,501986,21590
9,252016,5420
10,100165,2943
11,56480,1469
12,31373,1065
13,16675,498
14,12598,391
15,8036,400
16,4780,173
17,2923,124
18,2325,84
19,1197,27
20,1079,18
21,575,19
22,460,9
23,361,4
24,261,5
25,333,4
26,135,3
27,140,3
28,76,1
29,44,0
30,93,3
31,48,2
32,39,0
33,39,0
34,20,0
35,44,0
36,22,0
37,24,4
38,78,0
39,11,0
40,8,0
41,6,0
42,8,0
43,7,0
44,9,0
45,11,0
46,4,0
47,7,0
48,1,0
49,6,0
50,5,0
51,4,1
52,2,0
53,2,0
54,4,0
55,3,0
56,1,0
57,1,0
58,2,0
59,3,0
60,0,0
61,1,0
62,1,0
63,1,0
64,1,0
65,0,0
66,1,0
67,1,0
68,2,0
69,1,0
70,2,0
71,3,0
72,0,0
73,0,0
74,0,0
75,0,0
76,1,0
77,1,0
78,2,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,1,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,1,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,1,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,1,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,1,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,2,0
158,0,0
159,0,0
160,0,0
161,1,0
162,1,0
163,0,0
164,1,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,1,0
180,0,0
181,0,0
182,0,0
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,1,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
