c
pdx,usedCount,eosCount
0,52953507,212214
1,10406534,278248
2,28723620,729611
3,21457336,280909
4,14598905,1056506
5,12945589,978803
6,7469362,763762
7,5722198,1467768
8,2533229,388394
9,1643305,460982
10,910536,175469
11,388939,138565
12,211786,75644
13,189669,57803
14,70806,28907
15,35249,11975
16,20846,6390
17,14300,2658
18,12265,1750
19,6384,2034
20,3706,857
21,2697,326
22,1440,415
23,1232,196
24,653,107
25,529,106
26,370,47
27,290,33
28,197,12
29,202,15
30,141,6
31,103,12
32,143,8
33,83,10
34,57,3
35,59,9
36,27,5
37,42,3
38,27,2
39,14,3
40,21,3
41,17,1
42,13,1
43,15,0
44,19,2
45,8,0
46,8,0
47,5,0
48,8,1
49,3,0
50,8,0
51,8,0
52,11,0
53,3,0
54,8,1
55,4,1
56,26,0
57,6,0
58,4,0
59,5,0
60,3,0
61,1,0
62,4,0
63,3,0
64,4,0
65,1,0
66,3,0
67,0,0
68,5,0
69,3,0
70,1,0
71,2,0
72,4,0
73,6,0
74,2,0
75,4,0
76,0,0
77,2,0
78,1,0
79,1,0
80,1,0
81,2,0
82,0,0
83,1,0
84,1,0
85,3,0
86,0,0
87,0,0
88,3,0
89,0,0
90,1,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,1,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,1,0
103,0,0
104,0,0
105,1,0
106,0,0
107,0,0
108,1,0
109,0,0
110,1,0
111,0,0
112,1,0
113,0,0
114,0,0
115,0,0
116,0,0
117,1,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,1,0
125,0,0
126,0,0
127,0,0
128,1,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,1,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
