d
pdx,usedCount,eosCount
0,28858721,170707
1,5013797,425175
2,49071909,34203547
3,20948715,6919600
4,17189867,8917617
5,21826435,12354066
6,12633463,9817413
7,13511847,11520316
8,8048105,7124038
9,3893697,3394903
10,2098104,1901991
11,1042518,936452
12,451207,382678
13,241241,207555
14,128828,103624
15,76838,63820
16,57279,46789
17,32818,26944
18,19562,15791
19,13812,11554
20,9101,7283
21,5844,4313
22,3321,1969
23,1945,1466
24,1409,934
25,1024,676
26,491,229
27,385,154
28,280,82
29,185,58
30,131,35
31,109,27
32,119,29
33,67,20
34,72,16
35,82,22
36,40,11
37,36,6
38,28,6
39,23,1
40,24,1
41,28,1
42,17,1
43,17,4
44,25,2
45,11,0
46,14,0
47,13,1
48,7,1
49,6,1
50,6,0
51,6,1
52,5,1
53,7,1
54,6,1
55,3,0
56,7,1
57,3,0
58,3,0
59,5,4
60,2,1
61,3,1
62,2,1
63,1,0
64,4,0
65,1,0
66,2,0
67,3,0
68,1,0
69,4,0
70,2,0
71,1,0
72,2,0
73,1,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,3,0
81,2,0
82,2,0
83,0,0
84,1,0
85,0,0
86,0,0
87,0,0
88,1,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,1,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,1,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,1,0
127,0,0
128,0,0
129,0,0
130,0,0
131,2,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,1,0
139,1,1
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,2,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,2,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
