e
pdx,usedCount,eosCount
0,23144307,128769
1,111531906,10220433
2,127519645,81579864
3,85417749,24242991
4,75912571,17526730
5,46779551,13486429
6,37728517,10320400
7,23930174,6805968
8,14718731,5899698
9,7484557,3091433
10,4713025,2004639
11,1911791,905296
12,893056,381863
13,754869,416709
14,293047,120097
15,188864,71549
16,107633,37709
17,61515,20213
18,42182,17550
19,32620,13545
20,18062,7103
21,11288,4663
22,8293,3501
23,5756,2228
24,3690,1601
25,2581,1185
26,1933,859
27,1321,537
28,1014,514
29,771,307
30,515,230
31,481,160
32,408,154
33,338,154
34,242,101
35,208,79
36,242,61
37,120,38
38,151,63
39,114,37
40,88,35
41,73,23
42,60,15
43,45,11
44,53,21
45,39,13
46,37,4
47,21,0
48,38,15
49,22,8
50,27,5
51,21,1
52,21,2
53,20,8
54,9,3
55,11,4
56,18,3
57,8,1
58,18,2
59,11,1
60,5,0
61,5,1
62,5,2
63,5,2
64,8,3
65,10,2
66,6,2
67,5,0
68,6,1
69,3,0
70,5,0
71,8,1
72,5,0
73,1,0
74,2,0
75,2,2
76,2,0
77,2,0
78,4,0
79,6,0
80,2,1
81,2,0
82,1,0
83,4,1
84,0,0
85,1,0
86,0,0
87,0,0
88,0,0
89,1,0
90,0,0
91,3,0
92,2,0
93,1,1
94,0,0
95,0,0
96,0,0
97,1,0
98,1,0
99,2,0
100,0,0
101,4,0
102,0,0
103,0,0
104,1,0
105,0,0
106,1,0
107,1,0
108,0,0
109,2,0
110,0,0
111,0,0
112,0,0
113,0,0
114,1,0
115,2,0
116,0,0
117,3,0
118,2,1
119,1,0
120,1,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,1,0
129,0,0
130,3,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,1,0
146,0,0
147,2,0
148,0,0
149,1,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,1,0
167,0,0
168,1,0
169,0,0
170,3,0
171,0,0
172,0,0
173,1,0
174,0,0
175,0,0
176,1,0
177,0,0
178,1,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,2,0
185,0,0
186,0,0
187,0,0
188,1,0
189,0,0
190,0,0
191,1,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
