f
pdx,usedCount,eosCount
0,42440466,101482
1,40844896,35217371
2,9598193,498251
3,5603837,562002
4,2760356,528848
5,2437523,325861
6,1356441,407165
7,762154,75407
8,233143,41283
9,131243,22571
10,58928,13200
11,43443,6957
12,18801,2781
13,15173,3791
14,16093,8212
15,6918,2396
16,4620,763
17,9714,7072
18,2197,700
19,1503,161
20,1087,86
21,1401,82
22,478,87
23,471,45
24,239,25
25,296,90
26,161,7
27,101,8
28,84,3
29,73,1
30,36,2
31,64,11
32,25,0
33,25,1
34,21,2
35,17,0
36,18,11
37,11,0
38,12,0
39,10,0
40,17,0
41,3,0
42,0,0
43,8,0
44,5,0
45,4,0
46,2,0
47,7,2
48,5,0
49,2,0
50,4,0
51,2,0
52,2,0
53,2,0
54,2,0
55,2,0
56,2,0
57,1,0
58,3,0
59,1,0
60,1,0
61,0,0
62,0,0
63,2,0
64,0,0
65,0,0
66,0,0
67,0,0
68,1,0
69,0,0
70,1,0
71,0,0
72,1,0
73,1,0
74,1,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,2,0
91,0,0
92,0,0
93,0,0
94,1,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,1,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,1,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,1,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,1,0
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,1,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
