g
pdx,usedCount,eosCount
0,16697254,105609
1,2899273,88092
2,14027784,495431
3,13972549,1974215
4,9736587,2667140
5,9914388,4204737
6,9411902,5818031
7,5942664,4245879
8,5561838,4666548
9,2381616,1910376
10,1293692,1055874
11,717580,600901
12,410414,358942
13,117727,87619
14,99938,71145
15,51366,38547
16,22910,15196
17,13849,9492
18,9906,6793
19,6290,4176
20,4783,3077
21,3312,2036
22,1567,861
23,980,499
24,723,271
25,557,239
26,505,263
27,244,107
28,368,122
29,130,51
30,164,33
31,80,21
32,153,28
33,62,15
34,59,20
35,33,9
36,37,4
37,35,6
38,33,6
39,27,11
40,8,3
41,73,64
42,16,2
43,15,0
44,19,7
45,7,2
46,7,0
47,6,1
48,12,2
49,7,2
50,32,0
51,8,0
52,29,0
53,8,2
54,27,0
55,8,0
56,10,1
57,5,1
58,4,0
59,4,0
60,8,0
61,5,0
62,5,0
63,4,0
64,5,0
65,2,0
66,3,0
67,2,0
68,2,0
69,2,0
70,3,0
71,1,0
72,1,0
73,1,0
74,2,0
75,1,0
76,2,0
77,2,0
78,1,0
79,0,0
80,1,0
81,0,0
82,0,0
83,0,0
84,1,0
85,1,0
86,1,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,1,0
94,1,0
95,1,0
96,3,0
97,1,0
98,0,0
99,0,0
100,1,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,2,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,1,0
115,0,0
116,2,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,2,0
123,0,0
124,0,0
125,0,0
126,0,0
127,2,0
128,1,0
129,0,0
130,0,0
131,0,0
132,0,0
133,2,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,3,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,2,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,1,0
153,0,0
154,0,0
155,1,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,1,0
171,0,0
172,1,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,1,0
180,0,0
181,1,0
182,0,0
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,1,1
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,1,0
206,0,0
207,1,0
208,1,0
209,0,0
210,0,0
