h
pdx,usedCount,eosCount
0,39570518,96453
1,121161139,973514
2,7013793,92851
3,22093549,11082472
4,16421904,7902429
5,6911932,2830150
6,4707203,2371444
7,2976006,1297154
8,1850132,479214
9,1339098,294460
10,431859,150846
11,267901,121297
12,115633,40580
13,61856,23012
14,42095,9222
15,22069,7045
16,11845,2536
17,7555,1833
18,5521,1474
19,5062,1032
20,3070,475
21,1860,261
22,1268,243
23,795,151
24,793,151
25,441,73
26,486,52
27,393,33
28,200,43
29,164,15
30,142,13
31,98,12
32,111,5
33,88,4
34,43,1
35,33,4
36,41,4
37,31,3
38,37,4
39,35,2
40,34,2
41,18,0
42,19,0
43,20,1
44,18,2
45,23,3
46,7,1
47,8,0
48,11,2
49,17,0
50,8,1
51,16,0
52,8,1
53,7,1
54,4,0
55,10,0
56,5,0
57,29,26
58,9,3
59,2,0
60,4,1
61,1,0
62,8,1
63,2,1
64,7,0
65,2,0
66,1,0
67,3,0
68,3,0
69,2,0
70,6,0
71,0,0
72,3,0
73,4,1
74,7,2
75,1,1
76,2,0
77,1,0
78,5,2
79,1,0
80,2,0
81,1,0
82,1,0
83,2,0
84,3,0
85,2,0
86,2,0
87,0,0
88,1,0
89,3,0
90,0,0
91,1,0
92,2,0
93,0,0
94,1,0
95,0,0
96,0,0
97,0,0
98,1,0
99,0,0
100,2,0
101,2,0
102,0,0
103,6,0
104,0,0
105,1,0
106,1,0
107,0,0
108,0,0
109,0,0
110,0,0
111,2,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,1,0
120,2,0
121,1,0
122,1,0
123,2,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,2,0
130,0,0
131,0,0
132,1,0
133,2,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,1,0
166,2,0
167,1,0
168,0,0
169,0,0
170,0,0
171,0,0
172,1,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,0,0
185,0,0
186,2,0
187,0,0
188,0,0
189,0,0
190,1,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
