i
pdx,usedCount,eosCount
0,66673595,591480
1,72193126,521954
2,38827412,577207
3,48671014,562099
4,43469448,722010
5,30213086,625160
6,24174965,592436
7,15011098,471525
8,9375749,257933
9,4967940,179516
10,3111477,119769
11,1577608,43003
12,633922,17859
13,320061,11150
14,174632,7360
15,96940,4659
16,62687,2720
17,34836,1961
18,22671,1338
19,13244,731
20,7914,494
21,5650,289
22,4202,298
23,2794,144
24,1923,107
25,1124,60
26,948,53
27,735,27
28,515,18
29,454,12
30,465,6
31,281,8
32,263,9
33,189,6
34,168,4
35,153,7
36,149,21
37,79,1
38,53,3
39,62,2
40,68,2
41,36,2
42,40,2
43,57,1
44,25,0
45,26,0
46,52,0
47,24,2
48,48,0
49,23,4
50,15,0
51,27,1
52,15,0
53,20,0
54,18,3
55,7,0
56,8,1
57,7,0
58,9,0
59,5,0
60,8,0
61,6,0
62,10,0
63,11,1
64,7,0
65,3,1
66,5,0
67,4,0
68,8,0
69,2,0
70,6,0
71,1,0
72,3,1
73,3,0
74,2,0
75,1,0
76,4,0
77,2,0
78,3,0
79,3,0
80,1,0
81,3,0
82,2,0
83,0,0
84,2,0
85,0,0
86,4,0
87,3,0
88,2,0
89,1,0
90,0,0
91,2,0
92,0,0
93,2,0
94,1,0
95,5,0
96,0,0
97,0,0
98,2,0
99,0,0
100,0,0
101,0,0
102,1,0
103,1,0
104,2,1
105,0,0
106,0,0
107,0,0
108,0,0
109,1,0
110,0,0
111,3,0
112,0,0
113,1,0
114,1,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,1,0
128,0,0
129,0,0
130,0,0
131,1,0
132,2,0
133,0,0
134,0,0
135,0,0
136,2,0
137,1,0
138,0,0
139,1,0
140,0,0
141,1,0
142,2,0
143,0,0
144,2,0
145,0,0
146,0,0
147,0,0
148,1,0
149,0,0
150,2,0
151,0,0
152,2,0
153,0,0
154,1,0
155,0,0
156,2,0
157,1,0
158,0,0
159,1,0
160,1,0
161,0,0
162,1,0
163,2,0
164,0,0
165,1,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,1,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,1,0
202,0,0
203,0,0
204,0,0
205,0,0
206,1,0
207,0,0
208,0,0
209,0,0
210,0,0
