k
pdx,usedCount,eosCount
0,7084921,68293
1,1090303,228505
2,4292655,156675
3,11339400,4867285
4,4279065,1673914
5,1238861,394248
6,1271094,597603
7,784362,347764
8,642370,332655
9,262588,126507
10,150289,67470
11,88397,26386
12,44814,12152
13,23622,8368
14,16228,6264
15,9041,3463
16,5756,1414
17,3023,1003
18,2677,858
19,1363,387
20,938,233
21,551,130
22,550,162
23,441,96
24,240,62
25,172,36
26,130,38
27,113,45
28,73,24
29,43,10
30,70,33
31,33,8
32,34,7
33,71,48
34,42,0
35,17,0
36,23,3
37,9,0
38,16,3
39,7,0
40,10,3
41,8,1
42,14,2
43,3,0
44,6,0
45,7,1
46,6,0
47,9,0
48,5,0
49,2,1
50,4,0
51,4,2
52,1,0
53,5,0
54,4,0
55,4,2
56,1,0
57,2,0
58,0,0
59,3,0
60,1,0
61,0,0
62,3,0
63,1,0
64,0,0
65,2,0
66,2,0
67,2,0
68,0,0
69,4,0
70,1,0
71,0,0
72,3,0
73,4,0
74,3,0
75,2,0
76,2,0
77,2,0
78,0,0
79,1,0
80,0,0
81,1,0
82,1,1
83,1,0
84,1,0
85,0,0
86,2,0
87,2,0
88,1,0
89,0,0
90,0,0
91,0,0
92,2,0
93,0,0
94,2,0
95,0,0
96,1,0
97,1,0
98,0,0
99,1,1
100,0,0
101,1,0
102,0,0
103,0,0
104,0,0
105,1,0
106,0,0
107,0,0
108,0,0
109,0,0
110,2,0
111,0,0
112,1,0
113,1,0
114,2,0
115,0,0
116,0,0
117,0,0
118,0,0
119,3,0
120,1,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,2,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,1,0
139,0,0
140,1,0
141,1,0
142,0,0
143,1,0
144,0,0
145,0,0
146,0,0
147,2,0
148,0,0
149,2,0
150,0,0
151,0,0
152,0,0
153,2,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,2,0
161,0,0
162,0,0
163,0,0
164,2,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,2,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,2,0
181,0,0
182,0,0
183,0,0
184,0,0
185,2,0
186,0,0
187,0,0
188,0,0
189,1,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
