l
pdx,usedCount,eosCount
0,24262270,96004
1,24411847,206701
2,36124340,1947062
3,35516083,4874722
4,25957726,5904611
5,14765756,3748422
6,13606685,5078374
7,11124476,4622038
8,5336547,1739125
9,3567457,1586747
10,2367418,820650
11,1623233,787891
12,1207896,855005
13,333067,163635
14,117511,48686
15,104597,61845
16,59383,31263
17,36033,18057
18,16394,5558
19,11397,4762
20,7547,2977
21,4188,1349
22,3357,1065
23,1844,536
24,1424,388
25,1176,366
26,627,156
27,463,116
28,363,73
29,425,127
30,201,28
31,199,25
32,153,34
33,116,9
34,83,9
35,90,15
36,75,10
37,100,4
38,63,3
39,80,10
40,70,10
41,36,3
42,27,6
43,20,3
44,35,4
45,21,1
46,11,0
47,43,1
48,18,2
49,17,1
50,20,1
51,10,0
52,11,0
53,12,0
54,11,2
55,13,0
56,11,0
57,12,1
58,5,0
59,5,1
60,8,1
61,9,0
62,3,0
63,4,0
64,5,0
65,5,0
66,3,0
67,2,0
68,3,0
69,4,0
70,2,0
71,1,0
72,0,0
73,2,0
74,1,0
75,2,0
76,5,0
77,2,0
78,0,0
79,1,0
80,2,0
81,2,0
82,1,0
83,1,0
84,1,0
85,2,0
86,0,0
87,1,1
88,0,0
89,2,0
90,3,0
91,1,0
92,0,0
93,2,0
94,0,0
95,0,0
96,1,0
97,0,0
98,0,0
99,1,0
100,0,0
101,0,0
102,0,0
103,1,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,1,0
117,1,0
118,1,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,1,0
130,0,0
131,0,0
132,0,0
133,0,0
134,1,0
135,2,0
136,1,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,1,0
143,2,0
144,1,0
145,0,0
146,1,0
147,0,0
148,1,0
149,0,0
150,1,0
151,0,0
152,0,0
153,1,0
154,0,0
155,2,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,2,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,2,0
169,0,0
170,0,0
171,0,0
172,0,0
173,2,0
174,1,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,2,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
