m
pdx,usedCount,eosCount
0,36206838,276481
1,7096620,693640
2,29816256,1662202
3,22264529,8741667
4,9338164,1144158
5,6828820,1417272
6,6661085,1766534
7,2521432,419547
8,1195007,546843
9,854162,408445
10,305702,131855
11,150357,62391
12,101704,48930
13,60269,29416
14,34618,16592
15,23936,12854
16,14046,7264
17,11792,4230
18,6782,1842
19,3018,1179
20,2209,707
21,1695,532
22,1168,347
23,900,265
24,481,127
25,512,188
26,402,150
27,273,97
28,231,51
29,141,30
30,163,77
31,96,21
32,93,13
33,65,9
34,46,8
35,53,9
36,34,9
37,46,9
38,27,2
39,21,5
40,26,3
41,19,5
42,17,2
43,16,2
44,8,2
45,7,0
46,5,1
47,7,1
48,4,1
49,4,1
50,10,0
51,5,1
52,5,0
53,3,0
54,0,0
55,1,0
56,5,0
57,5,0
58,3,0
59,1,0
60,4,0
61,5,0
62,4,0
63,0,0
64,1,0
65,1,0
66,2,0
67,2,0
68,1,0
69,1,0
70,0,0
71,1,1
72,1,0
73,2,1
74,0,0
75,3,0
76,2,0
77,0,0
78,1,0
79,0,0
80,1,0
81,1,0
82,4,0
83,0,0
84,1,0
85,0,0
86,0,0
87,1,0
88,0,0
89,0,0
90,1,0
91,0,0
92,0,0
93,1,0
94,0,0
95,0,0
96,0,0
97,1,0
98,0,0
99,0,0
100,1,0
101,1,0
102,1,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,1,0
109,0,0
110,0,0
111,0,0
112,1,0
113,0,0
114,0,0
115,0,0
116,1,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,1,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,1,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,1,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,1,0
182,0,0
183,0,0
184,0,0
185,0,0
186,0,0
187,1,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,1,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
