n
pdx,usedCount,eosCount
0,19819699,81496
1,101531016,39945326
2,47580061,4670122
3,38706637,10554132
4,31263127,7106011
5,37950189,8239848
6,21195374,7243621
7,21517663,6978868
8,12100849,3795055
9,10115984,4913630
10,5107714,2702389
11,3018880,1704309
12,1390800,830333
13,836518,553291
14,270945,141506
15,174899,96562
16,109084,47578
17,53512,25544
18,39381,23045
19,20610,9714
20,14022,4954
21,10295,4815
22,5118,1784
23,3443,1336
24,2523,996
25,1816,654
26,1084,404
27,1015,319
28,629,199
29,471,156
30,396,140
31,389,131
32,316,142
33,256,52
34,170,52
35,130,21
36,89,14
37,185,24
38,65,13
39,99,11
40,45,10
41,65,21
42,63,4
43,42,12
44,34,10
45,25,1
46,26,4
47,22,4
48,24,3
49,20,6
50,14,0
51,16,0
52,20,0
53,18,2
54,16,6
55,14,2
56,12,1
57,12,1
58,12,0
59,9,0
60,8,2
61,16,1
62,10,3
63,8,0
64,1,0
65,3,0
66,5,0
67,1,0
68,8,1
69,2,0
70,4,1
71,3,0
72,5,0
73,2,0
74,3,1
75,2,0
76,2,0
77,2,0
78,4,0
79,4,1
80,1,0
81,0,0
82,1,1
83,3,1
84,4,0
85,1,0
86,2,1
87,0,0
88,0,0
89,2,0
90,4,0
91,0,0
92,1,0
93,0,0
94,2,0
95,1,0
96,1,0
97,1,0
98,2,0
99,1,1
100,0,0
101,0,0
102,0,0
103,1,0
104,0,0
105,2,0
106,0,0
107,0,0
108,1,0
109,2,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,1,0
117,1,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,1,0
125,1,0
126,2,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,2,0
140,0,0
141,0,0
142,2,0
143,0,0
144,0,0
145,2,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,2,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,1,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,1,0
173,0,0
174,0,0
175,0,0
176,2,0
177,0,0
178,0,0
179,0,0
180,0,0
181,1,1
182,0,0
183,1,1
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
