o
pdx,usedCount,eosCount
0,65445521,44361
1,128989643,22628891
2,42962267,4073915
3,29960617,4905249
4,28088154,1642814
5,13821621,1047142
6,12696732,1043299
7,7496077,525705
8,7014257,335804
9,4514867,161938
10,2242663,52366
11,1082693,25841
12,703393,14994
13,193967,5871
14,95739,5092
15,72836,3180
16,39501,1893
17,25675,1418
18,14882,631
19,7912,485
20,5707,339
21,3735,183
22,2466,129
23,1780,74
24,1349,59
25,853,52
26,764,48
27,496,23
28,435,18
29,343,6
30,282,22
31,259,4
32,171,8
33,170,10
34,150,7
35,74,2
36,90,3
37,71,3
38,82,6
39,53,1
40,53,3
41,54,6
42,41,0
43,23,0
44,30,0
45,30,0
46,28,0
47,8,1
48,13,0
49,38,0
50,9,1
51,43,1
52,16,1
53,40,0
54,10,0
55,32,0
56,11,1
57,3,0
58,4,0
59,7,1
60,9,1
61,8,0
62,7,2
63,5,0
64,0,0
65,5,0
66,6,0
67,4,1
68,2,0
69,6,0
70,1,0
71,3,0
72,6,1
73,2,0
74,2,0
75,1,0
76,2,0
77,2,0
78,0,0
79,2,1
80,1,0
81,3,0
82,5,0
83,2,1
84,1,0
85,3,0
86,2,0
87,0,0
88,1,0
89,2,0
90,2,0
91,1,0
92,2,0
93,0,0
94,1,0
95,2,0
96,0,0
97,0,0
98,0,0
99,1,0
100,1,0
101,2,0
102,0,0
103,0,0
104,0,0
105,0,0
106,1,0
107,2,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,1,0
124,1,0
125,1,0
126,1,0
127,0,0
128,0,0
129,1,0
130,0,0
131,0,0
132,0,0
133,0,0
134,2,0
135,0,0
136,0,0
137,1,0
138,0,0
139,1,0
140,0,0
141,0,0
142,0,0
143,1,0
144,0,0
145,1,0
146,0,0
147,0,0
148,0,0
149,1,0
150,0,0
151,1,0
152,0,0
153,1,0
154,0,0
155,1,0
156,1,0
157,1,0
158,0,0
159,0,0
160,0,0
161,1,0
162,0,0
163,1,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,1,0
174,0,0
175,1,0
176,0,0
177,0,0
178,0,0
179,0,0
180,1,0
181,0,0
182,1,0
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,1,0
210,0,0
