p
pdx,usedCount,eosCount
0,40101655,105522
1,10926477,1168660
2,16829982,1065772
3,13682859,1241911
4,6154918,860214
5,3229335,292332
6,2935145,258135
7,1453425,266709
8,768705,119562
9,529860,260925
10,357840,198724
11,570920,342520
12,50050,14048
13,32214,7043
14,15129,2498
15,17954,5304
16,7047,1020
17,4498,1048
18,3184,331
19,1997,245
20,1287,90
21,808,58
22,575,71
23,400,36
24,293,13
25,237,56
26,173,10
27,163,8
28,115,6
29,122,5
30,82,2
31,66,0
32,62,6
33,43,0
34,41,3
35,46,3
36,23,1
37,21,1
38,32,0
39,14,1
40,12,0
41,13,0
42,5,0
43,7,0
44,5,0
45,11,0
46,7,0
47,3,0
48,2,0
49,2,0
50,3,1
51,8,0
52,6,0
53,8,0
54,1,0
55,6,0
56,2,0
57,3,0
58,3,0
59,0,0
60,0,0
61,3,0
62,5,0
63,4,0
64,3,0
65,0,0
66,2,0
67,2,0
68,0,0
69,0,0
70,1,0
71,2,0
72,2,0
73,0,0
74,0,0
75,0,0
76,1,0
77,5,0
78,0,0
79,0,0
80,0,0
81,0,0
82,2,0
83,0,0
84,0,0
85,2,0
86,0,0
87,2,0
88,0,0
89,0,0
90,0,0
91,0,0
92,2,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,3,0
100,0,0
101,0,0
102,2,0
103,0,0
104,1,0
105,0,0
106,0,0
107,0,0
108,2,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,1,0
127,1,0
128,2,0
129,0,0
130,1,0
131,1,0
132,1,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,1,0
145,0,0
146,1,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,1,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,1,0
165,0,0
166,1,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,1,0
175,0,0
176,1,0
177,2,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
