r
pdx,usedCount,eosCount
0,30441234,101494
1,55186674,3113309
2,75319142,12414517
3,35239547,4279551
4,44851682,13150539
5,34180754,9749936
6,15980259,6283379
7,11061671,4037319
8,5791025,2319231
9,3016913,1107424
10,1630087,554234
11,849436,272415
12,392710,126221
13,201676,50499
14,118270,36199
15,74496,16672
16,56277,21804
17,26865,5768
18,19614,7987
19,11043,2977
20,8886,1709
21,4392,956
22,3539,1312
23,2136,471
24,1916,544
25,1397,272
26,742,205
27,789,114
28,529,176
29,407,68
30,390,82
31,261,28
32,155,30
33,184,26
34,126,37
35,107,9
36,86,15
37,95,21
38,63,9
39,53,4
40,109,9
41,32,4
42,50,9
43,42,6
44,11,0
45,27,3
46,25,3
47,26,1
48,21,2
49,21,1
50,8,0
51,5,1
52,7,1
53,7,1
54,11,0
55,6,0
56,6,0
57,12,0
58,7,1
59,8,2
60,10,0
61,4,0
62,3,0
63,6,1
64,3,0
65,8,1
66,2,0
67,10,1
68,2,1
69,1,0
70,2,0
71,1,0
72,1,0
73,0,0
74,3,0
75,1,0
76,2,0
77,1,0
78,4,0
79,1,1
80,1,0
81,1,1
82,2,0
83,1,0
84,1,0
85,0,0
86,0,0
87,1,0
88,0,0
89,0,0
90,1,0
91,3,0
92,1,0
93,1,0
94,2,0
95,0,0
96,1,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,1,0
103,0,0
104,0,0
105,1,0
106,0,0
107,0,0
108,0,0
109,1,0
110,2,0
111,0,0
112,0,0
113,3,0
114,0,0
115,1,0
116,1,0
117,0,0
118,2,0
119,0,0
120,0,0
121,2,0
122,2,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,1,0
135,2,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,1,0
159,0,0
160,1,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,1,0
169,0,0
170,1,0
171,0,0
172,0,0
173,0,0
174,1,0
175,0,0
176,0,0
177,1,0
178,0,0
179,3,0
180,0,0
181,0,0
182,0,0
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,1,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
