s
pdx,usedCount,eosCount
0,65207223,822520
1,28233269,20050643
2,59196773,22674588
3,32419475,8328678
4,30473006,16481740
5,30323268,15081833
6,25080026,15387764
7,16539652,12237796
8,10579457,8204161
9,6744586,5704558
10,4083597,3521069
11,2541197,2176256
12,1337608,1130801
13,593084,479998
14,341752,274756
15,114521,71387
16,61057,38601
17,48709,32182
18,18634,8541
19,13712,6503
20,6625,3129
21,5758,2797
22,4005,1770
23,2781,1029
24,1863,773
25,1212,374
26,828,309
27,778,179
28,627,267
29,409,120
30,247,59
31,214,47
32,182,36
33,204,66
34,168,39
35,123,24
36,92,16
37,70,13
38,69,11
39,36,7
40,31,3
41,49,4
42,49,5
43,32,7
44,29,16
45,44,1
46,25,2
47,25,1
48,22,3
49,16,1
50,10,1
51,8,1
52,4,0
53,8,3
54,16,1
55,4,0
56,3,0
57,5,1
58,4,0
59,5,0
60,6,1
61,0,0
62,4,0
63,4,0
64,9,3
65,5,0
66,6,1
67,1,0
68,1,0
69,1,0
70,4,0
71,2,0
72,3,0
73,2,0
74,4,2
75,1,0
76,1,0
77,2,0
78,2,0
79,2,0
80,4,1
81,0,0
82,1,1
83,0,0
84,0,0
85,0,0
86,1,0
87,0,0
88,0,0
89,0,0
90,1,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,3,1
97,2,0
98,0,0
99,0,0
100,3,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,1,0
108,0,0
109,0,0
110,2,0
111,0,0
112,2,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,1,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,1,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,2,0
137,0,0
138,1,1
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,1,0
157,0,0
158,1,0
159,2,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
