t
pdx,usedCount,eosCount
0,141106536,78543
1,29249959,10771041
2,53864290,7485858
3,57865647,15511380
4,32978405,9796504
5,27298827,6235822
6,23433130,6603787
7,15129343,3475985
8,10442080,3450464
9,6782928,2840788
10,3679768,1432612
11,934419,260259
12,628953,292845
13,333468,132776
14,166937,48673
15,90259,32884
16,49075,16710
17,29596,9821
18,23948,7351
19,13103,4659
20,9657,4574
21,5423,1933
22,4594,1933
23,2576,930
24,1785,600
25,1341,378
26,1053,320
27,688,195
28,589,107
29,356,71
30,291,54
31,242,45
32,223,36
33,185,47
34,175,31
35,181,17
36,104,20
37,85,9
38,78,12
39,81,5
40,66,10
41,40,7
42,34,4
43,62,4
44,28,3
45,19,2
46,32,4
47,35,8
48,17,3
49,16,0
50,17,3
51,12,0
52,10,6
53,17,1
54,8,0
55,13,3
56,10,2
57,7,0
58,7,1
59,7,0
60,5,0
61,3,0
62,1,0
63,7,0
64,2,0
65,5,0
66,3,0
67,1,0
68,2,0
69,4,1
70,4,1
71,3,0
72,4,0
73,2,0
74,3,1
75,3,0
76,3,0
77,2,0
78,2,0
79,2,1
80,4,0
81,3,0
82,1,0
83,0,0
84,0,0
85,0,0
86,0,0
87,2,0
88,1,0
89,0,0
90,0,0
91,1,0
92,0,0
93,2,0
94,1,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,1,0
101,0,0
102,3,0
103,0,0
104,0,0
105,2,0
106,2,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,1,0
114,1,0
115,1,0
116,0,0
117,0,0
118,1,0
119,0,0
120,3,0
121,1,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,1,0
128,1,0
129,0,0
130,0,0
131,0,0
132,1,0
133,0,0
134,0,0
135,0,0
136,0,0
137,1,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,1,0
152,0,0
153,0,0
154,1,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,1,0
167,1,0
168,0,0
169,2,0
170,0,0
171,1,0
172,0,0
173,0,0
174,0,0
175,1,0
176,0,0
177,1,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,1,0
185,0,0
186,0,0
187,0,0
188,0,0
189,1,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,1,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,1,1
