u
pdx,usedCount,eosCount
0,11693508,42743
1,38506379,165643
2,22029508,501886
3,18111032,246916
4,16302269,189991
5,5885410,235746
6,5563447,148317
7,3133730,88117
8,2034508,66936
9,795006,27544
10,314228,15107
11,202721,7393
12,95668,8070
13,51779,3113
14,32521,1599
15,23627,1374
16,11921,810
17,8274,747
18,4916,245
19,3825,189
20,2381,195
21,1833,79
22,1192,105
23,1019,224
24,894,58
25,530,47
26,691,59
27,268,19
28,220,6
29,147,2
30,126,4
31,175,5
32,120,5
33,106,2
34,53,1
35,42,0
36,32,3
37,44,1
38,39,2
39,84,1
40,18,2
41,26,0
42,16,0
43,18,0
44,9,1
45,17,0
46,13,0
47,13,1
48,11,2
49,7,0
50,11,0
51,2,0
52,7,0
53,3,0
54,4,0
55,7,0
56,8,3
57,5,1
58,3,1
59,5,1
60,2,0
61,4,0
62,5,1
63,2,0
64,3,0
65,1,1
66,7,0
67,1,0
68,2,0
69,2,0
70,0,0
71,4,0
72,0,0
73,4,0
74,0,0
75,0,0
76,2,0
77,2,0
78,1,0
79,3,0
80,1,0
81,1,0
82,0,0
83,2,0
84,3,2
85,0,0
86,0,0
87,0,0
88,0,0
89,1,0
90,0,0
91,0,0
92,0,0
93,2,0
94,0,0
95,2,0
96,0,0
97,1,0
98,3,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,3,0
109,1,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,2,0
122,0,0
123,2,1
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,1,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,1,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,1,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,2,0
179,0,0
180,2,0
181,0,0
182,2,0
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,1,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
