v
pdx,usedCount,eosCount
0,8404080,135968
1,5108601,246310
2,16136903,162697
3,8009362,67401
4,3817561,31068
5,3587533,61281
6,1292609,83598
7,1380426,60368
8,709271,33841
9,575273,16926
10,208065,8626
11,110942,2231
12,278710,1259
13,25106,705
14,15666,1186
15,10324,347
16,6523,211
17,3746,152
18,3160,65
19,1499,40
20,870,26
21,614,17
22,553,14
23,304,13
24,190,4
25,142,8
26,79,2
27,70,3
28,39,1
29,47,2
30,58,2
31,24,1
32,37,1
33,20,0
34,37,0
35,10,1
36,14,1
37,10,1
38,11,0
39,5,0
40,8,0
41,9,0
42,7,0
43,5,0
44,1,0
45,4,0
46,1,0
47,2,0
48,1,0
49,3,0
50,3,0
51,1,0
52,6,0
53,1,0
54,0,0
55,2,0
56,1,0
57,0,0
58,3,0
59,0,0
60,3,0
61,1,0
62,2,0
63,1,0
64,2,0
65,0,0
66,0,0
67,0,0
68,1,0
69,0,0
70,1,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,1,0
77,0,0
78,1,0
79,0,0
80,0,0
81,0,0
82,1,0
83,2,0
84,0,0
85,0,0
86,0,0
87,2,0
88,1,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
