w
pdx,usedCount,eosCount
0,51220784,96603
1,4656304,46260
2,9464828,3798956
3,5945274,1163421
4,2412518,355726
5,3013268,660378
6,779685,175736
7,460556,122919
8,323347,90586
9,111994,18932
10,65604,9074
11,48262,7325
12,25223,10848
13,16985,8682
14,7945,3187
15,4982,931
16,2610,423
17,1437,344
18,1089,132
19,904,169
20,640,62
21,315,47
22,187,28
23,142,33
24,107,12
25,79,22
26,35,5
27,40,3
28,76,15
29,29,7
30,22,1
31,7,1
32,15,1
33,12,6
34,9,2
35,11,4
36,40,3
37,8,2
38,7,0
39,3,0
40,10,1
41,6,1
42,4,0
43,6,0
44,5,1
45,3,0
46,5,0
47,1,0
48,5,0
49,0,0
50,3,0
51,1,0
52,1,0
53,1,0
54,1,0
55,1,0
56,0,0
57,1,0
58,0,0
59,2,0
60,0,0
61,2,0
62,1,0
63,0,0
64,1,0
65,1,0
66,1,0
67,1,0
68,2,1
69,2,0
70,1,0
71,2,0
72,0,0
73,1,0
74,1,0
75,0,0
76,1,0
77,0,0
78,0,0
79,0,0
80,2,0
81,1,0
82,1,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,1,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
