y
pdx,usedCount,eosCount
0,4531818,48032
1,11104270,7225143
2,7228851,3306480
3,10972709,8090566
4,6758024,5117524
5,7224623,5976891
6,9011891,7963711
7,5225493,4877430
8,3837838,3659078
9,3611202,3495308
10,1416884,1354160
11,1479674,1443028
12,753665,733320
13,235453,221443
14,120533,109425
15,41459,36440
16,32677,28207
17,19594,16840
18,8587,6933
19,4723,3507
20,2836,2121
21,1999,1364
22,1218,890
23,1087,791
24,487,254
25,436,197
26,269,83
27,190,80
28,178,91
29,174,46
30,94,20
31,55,16
32,46,18
33,42,4
34,43,12
35,25,3
36,25,11
37,22,5
38,24,5
39,15,5
40,10,0
41,16,2
42,10,2
43,13,4
44,52,6
45,13,3
46,11,1
47,7,0
48,8,1
49,3,0
50,8,2
51,4,2
52,4,1
53,2,0
54,8,2
55,7,0
56,1,1
57,4,0
58,2,0
59,2,0
60,2,0
61,3,0
62,0,0
63,0,0
64,1,0
65,4,0
66,0,0
67,0,0
68,0,0
69,3,0
70,0,0
71,0,0
72,1,0
73,2,0
74,1,0
75,2,0
76,0,0
77,3,0
78,0,0
79,0,0
80,0,0
81,2,0
82,1,0
83,2,0
84,0,0
85,1,0
86,0,0
87,1,0
88,1,0
89,1,0
90,1,0
91,1,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,1,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,1,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,1,0
118,0,0
119,0,0
120,0,0
121,0,0
122,1,0
123,0,0
124,2,0
125,1,0
126,0,0
127,0,0
128,0,0
129,0,0
130,1,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,3,0
138,0,0
139,0,0
140,1,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,1,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,2,0
175,0,0
176,0,0
177,0,0
178,1,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
