c,usedCount,eosCount
a,419113262,37745746
b,75220492,1646213
c,160326649,7120577
d,185183717,98561942
e,563224633,177315655
f,106350362,37826737
g,93303775,28432510
h,225027191,27780619
i,359654325,5313461
j,10773599,270049
k,32634584,8922166
l,200573208,32608496
m,123503998,17396019
n,352846108,99678700
o,345488972,36521908
p,97677966,6212894
q,4662989,144421
r,314476179,57657613
s,313977375,132725501
t,404130944,68500145
u,124814555,1753321
v,49688571,914377
w,78565461,6570890
x,8968993,1750069
y,73629467,53719509
z,6644405,714559
-,11487299,2269669
',8020824,1099606
